quarter,quarter_label,quarter_end_date,geography_type,geography_code,geography_name,remoteness,support_class,support_type,support_type_group,atlas_service_type_filter,payments,local_support_share,payment_growth_rate,payments_per_funded_plan,payments_per_1000_population,national_support_share,remoteness_support_share,support_location_quotient,remoteness_support_location_quotient,national_benchmark,remoteness_benchmark,support_payment_gap_from_national_benchmark,support_payment_gap_from_remoteness_benchmark,support_share_gap_from_national,support_share_gap_from_remoteness,support_lq_gap_from_remoteness,projected_next_quarter_payments,projected_next_quarter_payment_change,support_undersupply_score,support_growth_score,support_payment_scale_score,support_payment_intensity_score,support_business_opportunity_score,support_advocacy_opportunity_score,service_type_opportunity_score,service_type_opportunity_rank,service_type_opportunity_segment,business_opportunity_score,advocacy_opportunity_score,underfunded_advocacy_score,underserviced_provider_score,funded_plans_per_1000_delta_from_national_mean,funded_plans_per_1000_delta_from_national_median,mean_plan_utilisation_delta_from_national_median,provider_saturation_delta_from_national_mean,provider_saturation_delta_from_national_median,active_provider_rate_delta_from_national_mean,active_provider_rate_delta_from_national_median,atlas_default_metric_value,atlas_default_metric_label,atlas_metric_interpretation,atlas_utilisation_median_band,payment_item_participant_count_sum_not_unique,suppressed_payment_item_rows,suppressed_participant_item_rows,source_item_rows,area_total_payments,funded_plan_count,population_count,reliability_flag
2025Q1,2025 Q1,2024-09-30,ndia_service_area,Central Highlands,Central Highlands,Inner Regional Australia,Capacity Building,Early Childhood Supports,Early Childhood Supports,Early Childhood Supports,7499000.0,0.0176053940729993,0.08257542947885077,971.1214711214711,33115.0393238332,0.0192277823372579,0.019067239799013504,0.9156227049068015,0.9233320742056311,0.0192277823372579,0.019067239799013504,691054.658772666,622671.7251500031,0.0016223882642586,0.0014618457260142034,0.07666792579436887,8118233.145661902,619233.1456619017,0.6104166666666666,0.9010416666666666,0.30625,0.15416666666666667,0.4887083333333333,0.528125,0.5084166666666666,21.0,monitor,0.4716666666666667,0.5041666666666667,0.45416666666666666,0.54375,7.946237100070359,6.329183837163395,-0.010000000000000009,,,,,0.4604166666666667,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,1827.0,5.0,5.0,11.0,425949000.0,7722.0,226453.0,suppression_present
2025Q2,2025 Q2,2024-12-31,ndia_service_area,Central Highlands,Central Highlands,Inner Regional Australia,Capacity Building,Early Childhood Supports,Early Childhood Supports,Early Childhood Supports,7682000.0,0.0175610246750456,0.02440325376716901,963.7435704428553,33923.154031962484,0.0196324665334826,0.01961396395015474,0.8944889652604672,0.8953327700445303,0.0196324665334826,0.01961396395015474,906143.9552058298,898050.0741393901,0.002071441858436999,0.0020529392751091405,0.10466722995546973,7869465.795439392,187465.79543939233,0.6451388888888889,0.5416666666666666,0.30625,0.15208333333333332,0.42011111111111105,0.5003472222222222,0.4602291666666666,45.0,monitor,0.45541666666666664,0.4583333333333333,0.4354166666666666,0.4625,8.241593793862396,6.406508256183233,0.0,,,,,0.3791666666666667,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,1938.0,3.0,3.0,9.0,437446000.0,7971.0,226453.0,suppression_present
2025Q3,2025 Q3,2025-03-31,ndia_service_area,Central Highlands,Central Highlands,Inner Regional Australia,Capacity Building,Early Childhood Supports,Early Childhood Supports,Early Childhood Supports,8276000.0,0.0183503732824241,0.07732361364228058,1015.2109911678116,36546.214887857524,0.0205368331018939,0.020676387035106707,0.8935347135256134,0.8875038589317739,0.0205368331018939,0.020676387035106707,986091.1921210475,1049029.8764460888,0.0021864598194697993,0.0023260137526826055,0.11249614106822614,8915930.226503514,639930.2265035138,0.6593749999999999,0.8927083333333333,0.31354166666666666,0.16979166666666667,0.49045833333333333,0.46657986111111105,0.4785190972222222,51.0,monitor,0.416875,0.40173611111111107,0.4458333333333333,0.359375,8.591319604762266,6.545974832043289,0.0,,,,,0.2760416666666667,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,3579.0,6.0,6.0,17.0,450999000.0,8152.0,226453.0,suppression_present
2025Q4,2025 Q4,2025-06-30,ndia_service_area,Central Highlands,Central Highlands,Inner Regional Australia,Capacity Building,Early Childhood Supports,Early Childhood Supports,Early Childhood Supports,9146000.0,0.0194622660580718,0.10512324794586747,1108.7404533882896,40388.071696996725,0.021522957326939,0.021784728238859418,0.9042561281163739,0.8933903533097636,0.021522957326939,0.021784728238859418,968390.9514350779,1091406.2649284005,0.0020606912688671992,0.0023224621807876183,0.10660964669023643,10107457.225712905,961457.2257129047,0.6590277777777778,0.8552083333333333,0.3260416666666667,0.19479166666666667,0.49401388888888886,0.5086805555555556,0.5013472222222222,36.0,monitor,0.43499999999999994,0.4548611111111111,0.4395833333333334,0.48124999999999996,8.648586539369436,6.5258213308748765,-0.010000000000000009,,,,,0.4020833333333333,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,4089.0,4.0,4.0,16.0,469935000.0,8249.0,226453.0,suppression_present
2026Q1,2026 Q1,2025-09-30,ndia_service_area,Central Highlands,Central Highlands,Inner Regional Australia,Capacity Building,Early Childhood Supports,Early Childhood Supports,Early Childhood Supports,9934000.0,0.0207093375471922,0.0861578832276404,1188.419667424333,43867.822462056145,0.0225302672944722,0.0228596512722492,0.9191785111343634,0.9059340976182167,0.0225302672944722,0.0228596512722492,873476.327683486,1031477.5398314018,0.0018209297472800007,0.0021503137250570015,0.09406590238178325,10789892.41198338,855892.4119833801,0.6434027777777778,0.9239583333333333,0.3385416666666667,0.22708333333333333,0.5035555555555555,0.4559895833333334,0.47977256944444446,57.0,monitor,0.38479166666666664,0.3815972222222223,0.4458333333333333,0.353125,8.659522212534206,6.70678134978645,0.010000000000000009,,,,,0.27395833333333336,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,4496.0,3.0,3.0,16.0,479687000.0,8359.0,226453.0,suppression_present
2024Q2,2024 Q2,2023-12-31,ndia_service_area,Central Highlands,Central Highlands,Inner Regional Australia,Core,Group Centre Care,Group Centre Care,Group Centre Care,21386000.0,0.0561999716188303,,3058.6384439359267,94439.02266695516,0.0322250519432201,0.0314290094088308,1.7439838954442506,1.7881559958755635,0.0322250519432201,0.0314290094088308,-9123272.083838684,-9426193.333619978,-0.023974919675610204,-0.024770962209999497,0.0,21386000.0,0.0,0.24270833333333333,0.5005208333333333,0.6197916666666666,0.6104166666666667,0.49110416666666656,0.43828124999999996,0.46469270833333326,57.0,local specialisation,0.4820833333333333,0.50625,0.4458333333333333,0.5583333333333332,6.75565482802633,5.070733267270612,-0.010000000000000009,-0.7735914444903855,1.4484424259220692,-1.5031739359890395,-6.49667226726676,0.43194444444444446,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,5132.0,62.0,62.0,109.0,380534000.0,6992.0,226453.0,suppression_present
2024Q3,2024 Q3,2024-03-31,ndia_service_area,Central Highlands,Central Highlands,Inner Regional Australia,Core,Group Centre Care,Group Centre Care,Group Centre Care,21311000.0,0.0539149090117919,-0.0035069671747872677,2947.9872734818096,94107.82811444318,0.0318908825169397,0.03089248113882292,1.6906057392157003,1.7452437300038175,0.0318908825169397,0.03089248113882292,-8705458.976646727,-9100098.087776326,-0.022024026494852196,-0.023022427872968976,0.0,21236263.022538107,-74736.97746189311,0.24687500000000004,0.059895833333333336,0.609375,0.6014957264957265,0.3916917735042735,0.4405381944444445,0.416114983974359,68.0,local specialisation,0.44081730769230765,0.49548611111111107,0.4916666666666667,0.528125,7.235976090073631,5.329477088032153,-0.010000000000000009,,,,,0.44895833333333335,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,5293.0,58.0,58.0,99.0,395271000.0,7229.0,226453.0,suppression_present
2024Q4,2024 Q4,2024-06-30,ndia_service_area,Central Highlands,Central Highlands,Inner Regional Australia,Core,Group Centre Care,Group Centre Care,Group Centre Care,21700000.0,0.0532405590013346,0.018253484116184104,2931.244090233689,95825.62386013874,0.0317307388630897,0.030611365460881054,1.6778858894857274,1.7392415594584272,0.0317307388630897,0.030611365460881054,-8767058.531226449,-9223297.219992256,-0.0215098201382449,-0.022629193540453545,0.0,22096100.605321195,396100.605321195,0.24791666666666667,0.340625,0.6052083333333333,0.603125,0.449375,0.4538194444444445,0.45159722222222226,55.0,local specialisation,0.45,0.5152777777777778,0.4708333333333334,0.58125,7.4196604831862025,5.761531893573483,-0.020000000000000018,,,,,0.4979166666666666,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Below national median,4525.0,40.0,40.0,67.0,407584000.0,7403.0,226453.0,suppression_present
2025Q1,2025 Q1,2024-09-30,ndia_service_area,Central Highlands,Central Highlands,Inner Regional Australia,Core,Group Centre Care,Group Centre Care,Group Centre Care,22229000.0,0.0521869989130154,0.024377880184331735,2878.6583786583788,98161.64943719005,0.0315642958697236,0.030344169910108798,1.6533553965027001,1.719836102540077,0.0315642958697236,0.030344169910108798,-8784219.738587104,-9303931.170959068,-0.0206227030432918,-0.0218428290029066,0.0,22770895.89861751,541895.8986175098,0.25052083333333336,0.46041666666666664,0.6083333333333333,0.6010416666666667,0.47839583333333335,0.43815104166666663,0.4582734375,58.0,local specialisation,0.4716666666666667,0.5041666666666667,0.45416666666666666,0.54375,7.946237100070359,6.329183837163395,-0.010000000000000009,,,,,0.4604166666666667,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,3965.0,25.0,25.0,42.0,425949000.0,7722.0,226453.0,suppression_present
2025Q2,2025 Q2,2024-12-31,ndia_service_area,Central Highlands,Central Highlands,Inner Regional Australia,Core,Group Centre Care,Group Centre Care,Group Centre Care,22404000.0,0.0512154643087375,0.007872598857348478,2810.6887467068123,98934.43672638472,0.0311199114728848,0.029701030851191707,1.6457458226821187,1.7243665570174163,0.0311199114728848,0.029701030851191707,-8790719.205832435,-9411402.858269593,-0.020095552835852702,-0.021514433457545796,0.0,22580377.704800036,176377.7048000358,0.24739583333333334,0.29375,0.6041666666666666,0.6041666666666666,0.4409791666666667,0.4009114583333333,0.4209453125,64.0,local specialisation,0.45541666666666664,0.4583333333333333,0.4354166666666666,0.4625,8.241593793862396,6.406508256183233,0.0,,,,,0.3791666666666667,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,3722.0,17.0,17.0,31.0,437446000.0,7971.0,226453.0,suppression_present
2025Q3,2025 Q3,2025-03-31,ndia_service_area,Central Highlands,Central Highlands,Inner Regional Australia,Core,Group Centre Care,Group Centre Care,Group Centre Care,22383000.0,0.0496298217956137,-0.0009373326191751685,2745.7065750736015,98841.70225168137,0.0305696140953805,0.029080341039767796,1.6235017439462365,1.7066451087263448,0.0305696140953805,0.029080341039767796,-8596134.61259749,-9267795.271405764,-0.019060207700233197,-0.0205494807558459,0.0,22362019.683985002,-20980.31601499766,0.24947916666666667,0.115625,0.5927083333333333,0.5989583333333334,0.3947291666666667,0.36410590277777777,0.3794175347222222,78.0,local specialisation,0.416875,0.40173611111111107,0.4458333333333333,0.359375,8.591319604762266,6.545974832043289,0.0,,,,,0.2760416666666667,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,3265.0,18.0,18.0,29.0,450999000.0,8152.0,226453.0,suppression_present
2025Q4,2025 Q4,2025-06-30,ndia_service_area,Central Highlands,Central Highlands,Inner Regional Australia,Core,Group Centre Care,Group Centre Care,Group Centre Care,22274000.0,0.0473980444103971,-0.004869767234061517,2700.206085586132,98360.36616869725,0.0297022116473558,0.028235521097551647,1.5957749198321616,1.678667244944421,0.0297022116473558,0.028235521097551647,-8315891.169499852,-9005140.393022066,-0.0176958327630413,-0.01916252331284545,0.0,22165530.804628514,-108469.19537148625,0.24531249999999996,0.09895833333333333,0.5614583333333333,0.5697916666666667,0.3821041666666667,0.4052517361111111,0.3936779513888889,70.0,local specialisation,0.43499999999999994,0.4548611111111111,0.4395833333333334,0.48124999999999996,8.648586539369436,6.5258213308748765,-0.010000000000000009,,,,,0.4020833333333333,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,3154.0,18.0,18.0,28.0,469935000.0,8249.0,226453.0,suppression_present
2026Q1,2026 Q1,2025-09-30,ndia_service_area,Central Highlands,Central Highlands,Inner Regional Australia,Core,Group Centre Care,Group Centre Care,Group Centre Care,22353000.0,0.0465991365202725,0.0035467361048755475,2674.1236990070583,98709.22443067656,0.0291154427376625,0.0276727682361931,1.6004955493942683,1.683934766574082,0.0291154427376625,0.0276727682361931,-8386700.619498888,-9078732.823085241,-0.01748369378261,-0.018926368284079398,0.0,22432280.192152284,79280.19215228409,0.24635416666666668,0.2625,0.5552083333333333,0.5604166666666667,0.4018541666666667,0.35672743055555556,0.37929079861111115,76.0,local specialisation,0.38479166666666664,0.3815972222222223,0.4458333333333333,0.353125,8.659522212534206,6.70678134978645,0.010000000000000009,,,,,0.27395833333333336,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,3125.0,16.0,16.0,26.0,479687000.0,8359.0,226453.0,suppression_present
