geography_type,geography_code,geography_name,state,remoteness,parent_geography_codes,latitude,longitude,area_sqkm,population,geography_vintage,reliability_flag
ndia_service_area,Goldfields-Esperance,Goldfields-Esperance,,Very Remote Australia,,-33.16060193885657,123.24875537804891,769164.0669,58079.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Goulburn,Goulburn,,Inner Regional Australia,,-36.62285076929799,145.44770238266696,16512.9203,186677.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Great Southern,Great Southern,,Outer Regional Australia,,-34.535408015234765,117.88743732021916,38909.5134,67150.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Hume Moreland,Hume Moreland,,Major Cities of Australia,,-37.61924804859214,144.86044741668724,554.8009999999999,278885.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Hunter New England,Hunter New England,,Outer Regional Australia,,-30.699465867328882,151.1677713321163,132385.0295,1013517.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Illawarra Shoalhaven,Illawarra Shoalhaven,,Inner Regional Australia,,-34.948390865078125,150.50515560472743,5656.5933,442449.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Inner East Melbourne,Inner East Melbourne,,Major Cities of Australia,,-37.79254283505646,145.15386320031078,319.2885,708602.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Inner Gippsland,Inner Gippsland,,Inner Regional Australia,,-38.40477918939036,146.08859949964005,9615.3818,217382.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Ipswich,Ipswich,,Inner Regional Australia,,-27.46577278674647,152.53591556995966,12979.2965,388213.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Katherine,Katherine,,Remote Australia,,-14.43503819745967,132.02100072611853,7416.644399999999,11282.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Kimberley-Pilbara,Kimberley-Pilbara,,Very Remote Australia,,-16.611476506447506,123.2747890653189,926013.4426,102732.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Limestone Coast,Limestone Coast,,Outer Regional Australia,,-37.28002179850873,140.21510627090234,21336.388,69717.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Loddon,Loddon,,Inner Regional Australia,,-36.66746303851541,144.33548572536733,19026.176,261396.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Mackay,Mackay,,Remote Australia,,-21.211884132318975,148.68225495784304,90140.1884,193813.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Mallee,Mallee,,Outer Regional Australia,,-34.93475132876206,142.7842640806927,39933.302800000005,94469.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Maroochydore,Maroochydore,,Inner Regional Australia,,-26.270517385459772,152.55662212506823,10007.696,499995.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Maryborough,Maryborough,,Outer Regional Australia,,-25.610140015698075,152.00216694648674,35187.6055,169886.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Mid North Coast,Mid North Coast,,Outer Regional Australia,,-30.84588082807877,152.64899482330816,11323.5823,241076.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Midwest-Gascoyne,Midwest-Gascoyne,,Very Remote Australia,,-25.808281109651418,114.27708360195537,601869.0925,70223.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Murray and Mallee,Murray and Mallee,,Outer Regional Australia,,-34.804252351299695,139.77767737298436,36211.3271,74882.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
