reporting_quarter,ndis_service_area,remoteness_category,population_2025_erp,funded_plans_per_1000_population_2025_erp,population_denominator_method,funded_plans_count,sdac_national_disability_per_1000_2022,funded_plans_per_1000_population_minus_sdac_national_per_1000,mean_plan_funding,median_plan_funding,mean_plan_utilisation,median_plan_utilisation,sdac_benchmark_use,sdac_benchmark_source,people_with_disability_count,people_with_disability_per_1000,funded_plans_per_1000,sdac_national_disability_rate_2022,historical_o2_total_active_participants,average_payments,median_payments,historical_o1_source_file,historical_o2_source_file,historical_q_source_file,historical_data_source,historical_measure_note
2022Q4,Cairns,Very Remote Australia,305342.0,19.81712309475932,"Static denominator: ABS Regional Population 2024-25 LGA ERP at 30 June 2025, aggregated to NDIA service district using Service District to LGA 2021 mapping. It is not an official quarterly service-area population estimate.",6051.0,214.0,-194.18287690524068,89300.0,39200.0,74.04735479391704,,National broad-disability context only. Do not use as local service-area denominator for funded plans.,"ABS Survey of Disability, Ageing and Carers 2022. Broad national disability prevalence: 21.4% of Australians. Used as national context only, not as a local denominator.",,,19.81712309475932,0.214,6051.0,66600.0,19800.0,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix Q Supplement 2022-23 Q2 (XLSB 37KB).xlsx,NDIA quarterly supplement O/Q service-district tables,"Historical rows extracted from Supplement/Appendix O and Q. Funding uses average annualised committed supports. Utilisation uses Q.1 Total (Total), converted to percentage points."
2022Q4,Central Australia,Very Remote Australia,42023.0,21.131285248554363,"Static denominator: ABS Regional Population 2024-25 LGA ERP at 30 June 2025, aggregated to NDIA service district using Service District to LGA 2021 mapping. It is not an official quarterly service-area population estimate.",888.0,214.0,-192.8687147514456,201000.0,65700.0,76.77994625677175,,National broad-disability context only. Do not use as local service-area denominator for funded plans.,"ABS Survey of Disability, Ageing and Carers 2022. Broad national disability prevalence: 21.4% of Australians. Used as national context only, not as a local denominator.",,,21.131285248554363,0.214,888.0,156600.0,37300.0,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix Q Supplement 2022-23 Q2 (XLSB 37KB).xlsx,NDIA quarterly supplement O/Q service-district tables,"Historical rows extracted from Supplement/Appendix O and Q. Funding uses average annualised committed supports. Utilisation uses Q.1 Total (Total), converted to percentage points."
2022Q4,Central Coast,Inner Regional Australia,357816.0,27.240257562546116,"Static denominator: ABS Regional Population 2024-25 LGA ERP at 30 June 2025, aggregated to NDIA service district using Service District to LGA 2021 mapping. It is not an official quarterly service-area population estimate.",9747.0,214.0,-186.7597424374539,68200.0,25300.0,75.96090921488555,,National broad-disability context only. Do not use as local service-area denominator for funded plans.,"ABS Survey of Disability, Ageing and Carers 2022. Broad national disability prevalence: 21.4% of Australians. Used as national context only, not as a local denominator.",,,27.240257562546116,0.214,9747.0,53900.0,18200.0,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix Q Supplement 2022-23 Q2 (XLSB 37KB).xlsx,NDIA quarterly supplement O/Q service-district tables,"Historical rows extracted from Supplement/Appendix O and Q. Funding uses average annualised committed supports. Utilisation uses Q.1 Total (Total), converted to percentage points."
2022Q4,Central Highlands,Inner Regional Australia,226453.0,26.756103915602797,"Static denominator: ABS Regional Population 2024-25 LGA ERP at 30 June 2025, aggregated to NDIA service district using Service District to LGA 2021 mapping. It is not an official quarterly service-area population estimate.",6059.0,214.0,-187.2438960843972,67500.0,27200.0,72.90331755991033,,National broad-disability context only. Do not use as local service-area denominator for funded plans.,"ABS Survey of Disability, Ageing and Carers 2022. Broad national disability prevalence: 21.4% of Australians. Used as national context only, not as a local denominator.",,,26.756103915602797,0.214,6059.0,49500.0,15700.0,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix Q Supplement 2022-23 Q2 (XLSB 37KB).xlsx,NDIA quarterly supplement O/Q service-district tables,"Historical rows extracted from Supplement/Appendix O and Q. Funding uses average annualised committed supports. Utilisation uses Q.1 Total (Total), converted to percentage points."
2022Q4,Central North Metro,Major Cities of Australia,445921.0,12.713014188611885,"Static denominator: ABS Regional Population 2024-25 LGA ERP at 30 June 2025, aggregated to NDIA service district using Service District to LGA 2021 mapping. It is not an official quarterly service-area population estimate.",5669.0,214.0,-201.2869858113881,91900.0,44100.0,72.78649747051138,,National broad-disability context only. Do not use as local service-area denominator for funded plans.,"ABS Survey of Disability, Ageing and Carers 2022. Broad national disability prevalence: 21.4% of Australians. Used as national context only, not as a local denominator.",,,12.713014188611885,0.214,5669.0,68000.0,24900.0,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix Q Supplement 2022-23 Q2 (XLSB 37KB).xlsx,NDIA quarterly supplement O/Q service-district tables,"Historical rows extracted from Supplement/Appendix O and Q. Funding uses average annualised committed supports. Utilisation uses Q.1 Total (Total), converted to percentage points."
2022Q4,Central South Metro,Major Cities of Australia,407579.0,15.248577576371698,"Static denominator: ABS Regional Population 2024-25 LGA ERP at 30 June 2025, aggregated to NDIA service district using Service District to LGA 2021 mapping. It is not an official quarterly service-area population estimate.",6215.0,214.0,-198.7514224236283,74900.0,34600.0,71.24380718438942,,National broad-disability context only. Do not use as local service-area denominator for funded plans.,"ABS Survey of Disability, Ageing and Carers 2022. Broad national disability prevalence: 21.4% of Australians. Used as national context only, not as a local denominator.",,,15.248577576371698,0.214,6215.0,54100.0,20100.0,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix Q Supplement 2022-23 Q2 (XLSB 37KB).xlsx,NDIA quarterly supplement O/Q service-district tables,"Historical rows extracted from Supplement/Appendix O and Q. Funding uses average annualised committed supports. Utilisation uses Q.1 Total (Total), converted to percentage points."
2022Q4,Darwin Remote,Very Remote Australia,24823.0,18.81319743786005,"Static denominator: ABS Regional Population 2024-25 LGA ERP at 30 June 2025, aggregated to NDIA service district using Service District to LGA 2021 mapping. It is not an official quarterly service-area population estimate.",467.0,214.0,-195.18680256213997,67600.0,45100.0,55.35251539760295,,National broad-disability context only. Do not use as local service-area denominator for funded plans.,"ABS Survey of Disability, Ageing and Carers 2022. Broad national disability prevalence: 21.4% of Australians. Used as national context only, not as a local denominator.",,,18.81319743786005,0.214,467.0,40700.0,21000.0,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix Q Supplement 2022-23 Q2 (XLSB 37KB).xlsx,NDIA quarterly supplement O/Q service-district tables,"Historical rows extracted from Supplement/Appendix O and Q. Funding uses average annualised committed supports. Utilisation uses Q.1 Total (Total), converted to percentage points."
2022Q4,Darwin Urban,Outer Regional Australia,160196.0,19.825713500961324,"Static denominator: ABS Regional Population 2024-25 LGA ERP at 30 June 2025, aggregated to NDIA service district using Service District to LGA 2021 mapping. It is not an official quarterly service-area population estimate.",3176.0,214.0,-194.1742864990387,102600.0,26200.0,79.32989611319834,,National broad-disability context only. Do not use as local service-area denominator for funded plans.,"ABS Survey of Disability, Ageing and Carers 2022. Broad national disability prevalence: 21.4% of Australians. Used as national context only, not as a local denominator.",,,19.825713500961324,0.214,3176.0,86500.0,25300.0,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix Q Supplement 2022-23 Q2 (XLSB 37KB).xlsx,NDIA quarterly supplement O/Q service-district tables,"Historical rows extracted from Supplement/Appendix O and Q. Funding uses average annualised committed supports. Utilisation uses Q.1 Total (Total), converted to percentage points."
2022Q4,East Arnhem,Very Remote Australia,0.0,,"Static denominator: ABS Regional Population 2024-25 LGA ERP at 30 June 2025, aggregated to NDIA service district using Service District to LGA 2021 mapping. It is not an official quarterly service-area population estimate.",222.0,214.0,,102500.0,57100.0,60.983414211535234,,National broad-disability context only. Do not use as local service-area denominator for funded plans.,"ABS Survey of Disability, Ageing and Carers 2022. Broad national disability prevalence: 21.4% of Australians. Used as national context only, not as a local denominator.",,,,0.214,222.0,53500.0,27200.0,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix Q Supplement 2022-23 Q2 (XLSB 37KB).xlsx,NDIA quarterly supplement O/Q service-district tables,"Historical rows extracted from Supplement/Appendix O and Q. Funding uses average annualised committed supports. Utilisation uses Q.1 Total (Total), converted to percentage points."
2022Q4,Eastern Adelaide,Major Cities of Australia,250964.0,17.18971645335586,"Static denominator: ABS Regional Population 2024-25 LGA ERP at 30 June 2025, aggregated to NDIA service district using Service District to LGA 2021 mapping. It is not an official quarterly service-area population estimate.",4314.0,214.0,-196.81028354664411,79200.0,31700.0,75.82665384023137,,National broad-disability context only. Do not use as local service-area denominator for funded plans.,"ABS Survey of Disability, Ageing and Carers 2022. Broad national disability prevalence: 21.4% of Australians. Used as national context only, not as a local denominator.",,,17.18971645335586,0.214,4314.0,64700.0,18400.0,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix O Supplement 2022-23 Q2 (XLSB 122KB).xlsx,data\raw\ndis_historical_2019_2024\quarterly_supplements\Appendix Q Supplement 2022-23 Q2 (XLSB 37KB).xlsx,NDIA quarterly supplement O/Q service-district tables,"Historical rows extracted from Supplement/Appendix O and Q. Funding uses average annualised committed supports. Utilisation uses Q.1 Total (Total), converted to percentage points."
